Crypto,Traditional,EG_Cointegrated,EG_P_Value,EG_Beta,Johansen_Cointegrated,Johansen_N_Relationships,Both_Tests_Pass
BTC-USD,IEF,False,0.5258296977575321,-2.730794864184957,False,0,False
BTC-USD,^RUT,True,0.021614461514322822,4.1608612490494945,False,0,False
BTC-USD,^SPX,True,0.04138013695886006,3.2498465134014847,False,0,False
BTC-USD,DBC,False,0.6434196385745226,1.645834727051581,False,0,False
BTC-USD,VNQ,False,0.12416227446931244,4.49178164041013,False,0,False
ETH-USD,IEF,False,0.08929111917398952,-4.496115774587077,False,0,False
ETH-USD,^RUT,False,0.12389220248445737,4.575000803223964,False,0,False
ETH-USD,^SPX,False,0.26817160754880476,3.0330300478745404,False,0,False
ETH-USD,DBC,False,0.14039036513042763,2.4400865200528545,False,0,False
ETH-USD,VNQ,True,0.004465596217841174,5.299707714096946,False,0,False
SOL-USD,IEF,False,0.418939198320957,-10.491197059192558,False,0,False
SOL-USD,^RUT,False,0.13678350472406087,8.707507903005473,False,0,False
SOL-USD,^SPX,False,0.34647774525375363,7.037642177903837,False,0,False
SOL-USD,DBC,False,0.3917611719435278,5.386145333377055,False,0,False
SOL-USD,VNQ,True,0.010323987117430908,11.619201992234357,False,0,False
