Regime_Type,,SPY,SPY,SPY,VIX,VIX,VIX
Regime,,Regime_1,Regime_2,Regime_3,High_Vol,Low_Vol,Medium_Vol
Crypto,Traditional,,,,,,
BTC-USD,DBC,0.060636141158959045,0.14154068916065018,0.19587714413133825,0.14662126433298225,-0.035629598345148984,0.10072817337527959
BTC-USD,IEF,-0.024254978091163497,0.023604450805680407,0.10677384196232748,0.013001170239881477,-0.0032587674820862716,0.006295871678192712
BTC-USD,VNQ,0.14305666919135035,0.3277545560990034,0.425544859627853,0.33608005886002595,0.1264580235176986,0.17920907085332216
BTC-USD,^RUT,0.2690333593303518,0.44691393858112055,0.5312640686697159,0.4344987311611048,0.2552464256133796,0.3094700025979521
BTC-USD,^SPX,0.254599972128064,0.45634438251848863,0.4745388781905446,0.4457256774149567,0.13962005457009433,0.31295017926474467
ETH-USD,DBC,0.051563955596906325,0.18315633935557957,0.2026093499547979,0.1503319457742544,-0.025441618743694053,0.10430621984603525
ETH-USD,IEF,0.0142310082127711,0.008547500890821664,0.005635436095784553,-0.03941289681037911,0.034605852519168055,0.03647768890921201
ETH-USD,VNQ,0.1274510581311298,0.358660106667099,0.3260347107573725,0.3088010127850162,0.14057323031415142,0.17612033468996266
ETH-USD,^RUT,0.25829144643907853,0.4742572837883265,0.42576707570712313,0.40183819895491374,0.316757916768465,0.3019172665548585
ETH-USD,^SPX,0.2545861351879475,0.4964808832984745,0.3626680966257416,0.41341387615986536,0.1852330997053778,0.3257099824900352
SOL-USD,DBC,0.08377826349864369,0.1373316267186758,0.051347881407043085,0.1173301016036327,0.07410923159280303,0.08575490862884942
SOL-USD,IEF,-0.01576410954388163,0.0037699541662892366,0.11066156592058182,-0.030452103912583243,-0.02465429033485741,0.02880856743127557
SOL-USD,VNQ,0.11499718041391935,0.2913585998662854,0.3290598757517992,0.22795135017229315,0.13447004711529342,0.17034838243355913
SOL-USD,^RUT,0.18024317251095529,0.3732167362386989,0.3891403443407517,0.3000013091612412,0.2436286542288827,0.2284467820565526
SOL-USD,^SPX,0.17917130294791486,0.4130859574736382,0.3644243844132567,0.3244939331530541,0.227897886636669,0.245758579811097
