Crypto,Traditional,ADF_Statistic,P_Value,Cointegrated,Alpha,Beta,Observations
BTC-USD,IEF,-1.515501116733486,0.5258296977575321,False,22.97233071487991,-2.730794864184957,1397
BTC-USD,^RUT,-3.172794185919904,0.021614461514322822,True,-21.00958123530398,4.1608612490494945,1397
BTC-USD,^SPX,-2.935432266548547,0.04138013695886006,True,-16.788055678452466,3.2498465134014847,1397
BTC-USD,DBC,-1.26858447876368,0.6434196385745226,False,5.687529483030344,1.645834727051581,1397
BTC-USD,VNQ,-2.46524073285708,0.12416227446931244,False,-9.141062536874436,4.49178164041013,1397
ETH-USD,IEF,-2.6182130626897324,0.08929111917398952,False,27.954744964299604,-4.496115774587077,1397
ETH-USD,^RUT,-2.4662939656508174,0.12389220248445737,False,-27.197826607553356,4.575000803223964,1397
ETH-USD,^SPX,-2.0426961528450467,0.26817160754880476,False,-18.0109374527485,3.0330300478745404,1397
ETH-USD,DBC,-2.4047852311486437,0.14039036513042763,False,0.2932717361671347,2.4400865200528545,1397
ETH-USD,VNQ,-3.6758738424204176,0.004465596217841174,True,-15.730037368235717,5.299707714096946,1397
SOL-USD,IEF,-1.7237108391968483,0.418939198320957,False,51.38075448587474,-10.491197059192558,1397
SOL-USD,^RUT,-2.4177704936834186,0.13678350472406087,False,-62.38576634547657,8.707507903005473,1397
SOL-USD,^SPX,-1.8696350739408063,0.34647774525375363,False,-55.54199529330163,7.037642177903837,1397
SOL-USD,DBC,-1.7773543357723756,0.3917611719435278,False,-12.255388938788021,5.386145333377055,1397
SOL-USD,VNQ,-3.4191230778143438,0.010323987117430908,True,-47.27755702968762,11.619201992234357,1397
